Date,Open,High,Low,Close,Adj Close,Volume
7/3/2001,123.980003,124.099998,123.050003,124.099998,90.914177,3303100
7/5/2001,123.07,123.650002,121.660004,121.68,89.141304,5517900
7/6/2001,121.309998,121.489998,119.050003,119.050003,87.214607,11665900
7/9/2001,119.489998,120.540001,119.199997,119.699997,87.690781,8339300
7/10/2001,120.290001,120.639999,118.209999,118.260002,86.63588,8630700
7/11/2001,118.099998,118.889999,117.089996,118.379997,86.723793,15328600
7/12/2001,119.5,121.470001,119.309998,121.190002,88.782349,12002800
7/13/2001,120.839996,122.32,120.620003,122.239998,89.551567,10433800
7/16/2001,121.769997,122.279999,120.290001,120.709999,88.43071,6915300
7/17/2001,120.199997,121.949997,119.830002,121.839996,89.258499,7469800
7/18/2001,120.559998,121.639999,120.059998,121.010002,88.650505,7709300
7/19/2001,122.18,122.980003,120.760002,122.07,89.42701,10082900
7/20/2001,121.150002,121.940002,120.919998,121.339996,88.892235,6705800
7/23/2001,121.800003,121.879997,118.949997,118.949997,87.141335,8065200
7/24/2001,119,119.199997,116.75,117.800003,86.298889,12269000
7/25/2001,117.919998,119.480003,117.459999,119.099998,87.251266,12088500
7/26/2001,119.059998,120.849998,118.559998,120.349998,88.166969,12898200
7/27/2001,120.830002,121.349998,119.910004,120.809998,88.503983,8478800
7/30/2001,121.190002,121.349998,120.300003,120.849998,88.533272,8547700
7/31/2001,121,122.68,120.800003,121.349998,88.899559,11918100
8/1/2001,121.970001,122.699997,121.550003,122.110001,89.456299,11940800
8/2/2001,123.230003,123.25,121.889999,122.610001,89.822624,11070100
8/3/2001,122.360001,122.360001,120.900002,121.940002,89.331779,10816300
8/6/2001,121.349998,121.510002,120.099998,120.300003,88.130333,8550100
8/7/2001,120.269997,121.199997,119.910004,120.769997,88.474648,8865100
8/8/2001,120.120003,121.160004,118.43,118.529999,86.833679,15183800
8/9/2001,118.699997,118.970001,117.860001,118.879997,87.090042,14118500
8/10/2001,118.800003,119.839996,117.339996,119.290001,87.390434,11173300
8/13/2001,119.599998,119.849998,118.809998,119.32,87.412407,7431600
8/14/2001,120.139999,120.349998,118.800003,119.269997,87.375809,13178100
8/15/2001,119.230003,119.610001,118.080002,118.239998,86.621239,8520600
8/16/2001,117.800003,118.75,117,118.650002,86.921585,10734700
8/17/2001,117.650002,117.870003,116.010002,116.75,85.529648,11604600
8/20/2001,116.800003,117.900002,116.550003,117.830002,86.320847,10417400
8/21/2001,117.800003,118.540001,115.800003,115.82,84.848343,14480800
8/22/2001,116.75,117.43,115.779999,117.019997,85.72744,11752300
8/23/2001,116.959999,117.519997,116.489998,116.599998,85.419785,8744100
8/24/2001,117.209999,119.129997,116.739998,119.019997,87.192635,11687700
8/27/2001,118.970001,119.199997,118.260002,118.309998,86.672493,7425100
8/28/2001,118.279999,118.489998,116.580002,116.580002,85.405121,12046600
8/29/2001,117.129997,117.18,115.169998,115.540001,84.643211,16180000
8/30/2001,114.849998,115.739998,112.040001,113.32,83.016884,17692600
8/31/2001,113.400002,114.769997,113.129997,114.150002,83.624908,15985400
9/4/2001,113.849998,116.169998,113.370003,113.419998,83.090118,24473400
9/5/2001,113.699997,114.190002,111.949997,113.699997,83.29528,21477100
9/6/2001,112.650002,113.300003,110.769997,110.769997,81.148788,21653000
9/7/2001,110.019997,111.25,108.629997,108.720001,79.646988,33133900
9/10/2001,107.699997,110.349998,107.699997,110.050003,80.621323,23408700
9/17/2001,101,106.400002,100,104.300003,76.408943,32388700
